College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
Indian Institute of Technology Madras ,Tamil nadu,Engineering,75116.0,23070.0,8.7,9,7.9,8.7,8.8,8.8,9
"College of Engineering, Anna University ",Tamil nadu,Engineering,50000.0,50000.0,8.4,8.7,7.7,8.1,8.7,8.3,8.7
"NIT Trichy, Tiruchirappalli ",Tamil nadu,Engineering,149250.0,99250.0,8.5,8.6,7.8,8.2,8.7,8.8,8.7
Vellore Institute of Technology ,Tamil nadu,Engineering,198000.0,183000.0,8.3,8.3,8,7.8,8.9,8.5,8.5
"SRM Engineering College, Kanchipuram ",Tamil nadu,Engineering,260000.0,170000.0,7.2,6.5,6.6,6.9,7.6,7.1,8.3
SSN College of Engineering ,Tamil nadu,Engineering,50000.0,50000.0,8.6,8.9,7.6,8.7,9.1,8.3,8.8
"SASTRA University, Thanjavur ",Tamil nadu,Engineering,167000.0,157000.0,8.1,8.5,7,8.2,8.3,8.7,8.1
P.S.G College of Technology ,Tamil nadu,Engineering,87000.0,154000.0,9,9.2,8.7,8.9,9,9.1,8.8
Thiagarajar College of Engineering ,Tamil nadu,Engineering,50000.0,50000.0,8.6,8.9,7.9,8.6,8.6,8.7,8.6
Coimbatore Institute of Technology ,Tamil nadu,Engineering,23670.0,132710.0,8,8.5,6.8,8.2,7.4,8.4,8.5
Karunya Institute of Technology and Sciences ,Tamil nadu,Engineering,213500.0,121500.0,7.9,7.9,7.9,7.9,8.5,7.5,7.4
Kumaraguru College of Technology ,Tamil nadu,Engineering,50000.0,50000.0,8.2,8.3,7.6,8,8.8,7.9,8.5
"VEL Tech, Chennai ",Tamil nadu,Engineering,50000.0,0.0,8.2,8.5,8.5,8.1,7.8,8.3,8.1
"Mepco Schlenk Engineering College, Sivakasi ",Tamil nadu,Engineering,134000.0,104150.0,8.1,8.5,8.1,8.3,8.6,7.9,7
Government College of Technology ,Tamil nadu,Engineering,9180.0,10110.0,8.1,8.4,7.1,8.3,8,8,8.8
Hindustan Institute of Technology and Science ,Tamil nadu,Engineering,229500.0,125500.0,7.6,7.8,6.9,7.8,7.9,6.9,8
Sri Krishna College of Engineering and Technology ,Tamil nadu,Engineering,50000.0,50000.0,8.1,8.2,7.4,8.2,9,8.2,7.7
Kongu Engineering College ,Tamil nadu,Engineering,60000.0,65000.0,8.3,8.3,7.7,8.3,8.9,8.3,8.3
Bannari Amman Institute of Technology ,Tamil nadu,Engineering,60000.0,35000.0,8.3,8.2,8.1,8,9.1,8.1,8.2
"Sona College of Technology, Salem ",Tamil nadu,Engineering,200000.0,229000.0,8.1,8.5,7.3,8.3,8.3,7.9,8.5
Tamil Nadu Veterinary and Animal Sciences University ,Tamil nadu,Engineering,21415.0,33325.0,8.3,8.4,8,8.4,8.2,8.2,8.4
"St. Joseph College Of Engineering, Kanchipuram ",Tamil nadu,Engineering,60000.0,65000.0,8,7,--,--,9,8,--
Saveetha Engineering College ,Tamil nadu,Engineering,85000.0,60000.0,8,8.1,7.3,8.1,8.6,7.7,7.9
